Generation,Best
0,137
1,140
2,145
3,171
4,171
5,173
6,173
7,175
8,175
9,175
10,142
11,176
12,175
13,146
14,133
15,133
16,132
17,132
18,133
19,133
20,133
21,133
22,132
23,133
24,132
25,133
26,132
27,133
28,133
29,133
30,134
31,134
32,134
33,134
34,134
35,134
36,134
37,134
38,134
39,134
40,134
41,134
42,134
43,134
44,134
45,134
46,134
47,134
48,129
49,129
50,129
51,129
52,129
53,129
54,129
55,128
56,128
57,128
58,128
59,128
60,128
61,128
62,128
63,128
64,128
65,128
66,128
67,128
68,128
69,129
70,129
71,129
72,129
73,129
74,129
75,129
76,129
77,129
78,129
79,129
80,129
81,129
82,129
83,129
